id;LongTrend
200;1
201;1
202;1
203;1
204;1
205;1
206;1
207;1
208;1
209;1
210;1
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
221;1
222;1
223;1
224;1
225;1
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;1
249;1
250;1
251;1
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
260;1
261;1
262;1
263;1
264;1
265;1
266;1
267;1
268;1
269;1
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
288;1
289;1
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;1
300;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
308;1
309;1
310;1
311;1
312;1
313;1
314;1
315;1
316;1
317;1
318;1
319;1
320;1
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
330;1
331;1
332;1
333;1
334;1
335;1
336;1
337;1
338;1
339;1
340;1
341;1
342;1
343;1
344;1
345;1
346;1
347;1
348;1
349;1
350;1
351;1
352;1
353;1
354;1
355;1
356;1
357;1
358;1
359;1
360;1
361;1
362;1
363;1
364;1
365;1
366;1
367;1
368;1
369;1
370;1
371;1
372;1
373;1
374;1
375;1
376;1
377;1
378;1
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;1
388;1
389;1
390;1
391;1
392;1
393;1
394;1
395;1
396;1
397;1
398;1
399;1
400;1
401;1
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;1
412;1
413;1
414;1
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
512;0
513;0
514;0
515;0
516;0
517;0
518;0
519;0
520;0
521;0
522;0
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;0
531;0
532;0
533;0
534;0
535;0
536;0
537;0
538;0
539;0
540;0
541;0
542;0
543;0
544;0
545;0
546;0
547;0
548;0
549;0
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0
586;0
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;1
595;1
596;1
597;1
598;1
599;1
600;1
601;1
602;1
603;1
604;1
605;1
606;1
607;1
608;1
609;1
610;1
611;1
612;1
613;1
614;1
615;1
616;1
617;1
618;1
619;1
620;1
621;1
622;1
623;1
624;1
625;1
626;1
627;1
628;1
629;1
630;1
631;1
632;1
633;1
634;1
635;1
636;1
637;1
638;1
639;1
640;1
641;1
642;1
643;1
644;1
645;1
646;1
647;1
648;1
649;1
650;1
651;1
652;1
653;1
654;1
655;1
656;1
657;1
658;1
659;1
660;1
661;1
662;1
663;1
664;1
665;1
666;1
667;1
668;1
669;1
670;1
671;1
672;1
673;1
674;1
675;1
676;1
677;1
678;1
679;1
680;1
681;1
682;1
683;1
684;1
685;1
686;1
687;1
688;1
689;1
690;1
691;1
692;1
693;1
694;1
695;1
696;1
697;1
698;1
699;1
700;1
701;1
702;1
703;1
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;0
757;0
758;0
759;0
760;0
761;0
762;0
763;0
764;0
765;0
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;1
785;1
786;1
787;1
788;1
789;1
790;1
791;1
792;1
793;1
794;1
795;1
796;1
797;1
798;1
799;1
800;1
801;1
802;1
803;1
804;1
805;1
806;1
807;1
808;1
809;1
810;1
811;1
812;1
813;1
814;1
815;1
816;1
817;1
818;1
819;1
820;1
821;1
822;1
823;1
824;1
825;1
826;1
827;1
828;1
829;1
830;1
831;1
832;1
833;1
834;1
835;1
836;1
837;1
838;1
839;1
840;1
841;1
842;1
843;1
844;1
845;1
846;1
847;1
848;1
849;1
850;1
851;1
852;1
853;1
854;1
855;1
856;1
857;1
858;1
859;1
860;1
861;1
862;1
863;1
864;1
865;1
866;1
867;1
868;1
869;1
870;1
871;1
872;1
873;1
874;1
875;1
876;1
877;1
878;1
879;1
880;1
881;1
882;1
883;1
884;1
885;1
886;1
887;1
888;1
889;1
890;1
891;1
892;1
893;1
894;1
895;1
896;1
897;1
898;1
899;1
900;1
901;1
902;1
903;1
904;1
905;1
