;mean_test_f1_score;std_test_f1_score;param_svm__C;param_svm__gamma
14;0.6941;0.2169;10.74013091788963;1.0054867987087446
16;0.6544;0.1716;21.976686206151964;1.0046248896004981
0;0.6476;0.1625;785.3712062487887;1.0079132406425964
1;0.6476;0.1625;396.76807844063245;1.0065564569208691
18;0.6476;0.1625;786.6643679128964;1.0071028553671155
17;0.6476;0.1625;50.966084354420694;1.0084397119029807
15;0.6476;0.1625;139.26248845778423;1.0066709225028494
13;0.6476;0.1625;41.44549003425462;1.002816380584862
12;0.6476;0.1625;120.27833463974031;1.003159561756727
11;0.6476;0.1625;81.4026493305107;1.0043670724341875
10;0.6476;0.1625;820.6535336155068;1.0062815820233748
9;0.6476;0.1625;369.5714577364733;1.0047881235484097
8;0.6476;0.1625;880.0158640101695;1.0042401128619656
7;0.6476;0.1625;223.7749698301772;1.0073810251826978
6;0.6476;0.1625;541.4804622587402;1.0058689770744376
5;0.6476;0.1625;280.07891037233134;1.0066284550924613
4;0.6476;0.1625;95.16161262211082;1.0028607905126974
3;0.6476;0.1625;534.7805670647184;1.0088473008144783
2;0.6476;0.1625;63.002751317207476;1.0029673049953003
19;0.6476;0.1625;34.80065548263434;1.007713202926672
